№,Слово,see also,Значение / комментарий,Комментарий диалектолога
566,лъамачараб,лъамияб,,
567,лъамачи,лъамалъи,,
568,лъамачизаби,лъамалъизаби,,
569,лъамачизабизе,лъамалъизабизе,,
570,лъамачизе,лъамалъизе,,
571,лъахъвазаби,лъухьизаби,,
572,лъахъвазабизе,"лъахъвазе (from), лъухьизабизе",,
573,лъахъвазе,,"(под)мести, подметать; убирать, убрать что-либо; [например помещение]",
574,лъахъвай,,,
575,лъвартӏаб,,черствый,
576,лъелъер,лъедерго,,
577,лъелъераб,лъедераб,,
578,лъелъерлъизаби,лъедерлъизаби,,
579,лъесен,гьацӏучед,соты,
580,лъикӏиса,,с хорошей стороны,
581,лъикӏлъизабизе,,"улучшать, улучшить, способствовать улучшению; совершенствовать | вылечить",
582,лъикӏлъизе,,"(по)хорошеть; улучшаться, улучшиться; становиться, стать лучше; идти на лад | поправляться, поправиться, выздоравливать, выздороветь",
583,лъихало,хилъало,,
584,лъичӏирма,,ива,
585,лъияб,лъикӏаб,хороший,
586,лълъонани,хумелаг,хмель,
587,лъолъеху,,дурман,
588,лъотӏир,хъирис,чесотка,
589,лъункари,,дикий кабан,
590,магащ,,творог,
591,магъ,"рачӏ, гӏоркь","зад, хвост; курдюк | конец | рукоятка",
592,мажал,,возможность,
593,маза,,кусочек съестного; закуска | кусок мяса; [раздаваемый при похоронах покойника],
594,малдин,катан,марля,
595,малихӏокилищ,,четвёртый палец,
596,малълъизе,рикӏкӏине,"(на)учить, обучать, обучить кого-либо чему-либо или с. | подсказывать, подсказать кому-либо что-либо; подучать кого-либо чему-либо | считаться | считать",
597,малъ-хал,хал-шал,разведка,
598,мама,"даци, имгӏал",дядя,
599,манакӏо,,фляжка,
600,манги,"нар, халабакӏ",тахта,
601,маргъалдахӏа,маргъалтӏегь,,
602,маргъалукъ,маргъал,пуговица,
603,мариямтӏегь,,ромашка,
604,мастӏи,,собака,
605,матӏикӏ,"хъинцӏи, бухъаро",мотыга,
606,матӏу,,зеркало | стекло,
607,матӏудул,матӏу (from),[родительный падеж] | зеркальный | стеклянный,
608,махмар,,бархат | вельвет,
609,махмарул,"махмар (from), махмаралъул",[родительный падеж] | бархатный | вельветовый,
610,махх,,"железо | жесть | металл | таган, таганок, треножник | кирка | пуговица | лемех",
611,махла,,наст снежный,
612,махьла,,краснуха,
613,махьулухь,,вид съедобной травы,
614,махӏахӏи,,название кустарникового растения с тёмно-красными ягодами,
615,махӏиду,,"мужчина, выполняющий женскую работу, женоподобный мужчина",
616,махӏидул,махӏитӏегь,,
617,махӏитӏегь,,мать-и-мачеха,
618,махӏутӏил,,подснежник,
619,мач,,молодило,
620,мачахӏи,пини,борщевик,
621,мачӏаб,,тёмно-серый | жёлтый,
622,мачӏал,,исток родника,
623,машгъулаб,,"занятый, увлечённый чем-либо | беспечный",
624,машгъул,,увлечённо | беспечно,
625,машгъуллъи,,занятость; увлечённость | беспечность,
626,машгъуллъизе,,"заниматься, заняться чем-либо; увлекаться, увлечься чем-либо; всецело отдаваться, отдаться чему-либо | быть беспечным",
627,мащу,,"труба, трубка | черенок; [для прививки к дичку]",
628,маълаъ,,огуречная трава,
629,маълаъхер,,окопник,
630,маъма,"ада, ункъачо","тётя, тётушка",
631,мегӏ,,"полынь, юшан",
632,мегӏер,,"гора | нос | выделения из носа, сопли",
633,мед,,брага,
634,мекъаб,,"упрямый, непослушный, с норовом | ложный; ошибочный | левый",
635,мелхӏу,,перга,
636,мергалрич,,стрекоза,
637,месед,сус,корь,
638,мигь,хӏавагӏеч,айва,
639,мигьил,мигь (from),[родительный падеж] | айвовый,
640,мигӏу,,мяу,
641,мигӏди,мимиди,,
642,мигӏдизе,мимидизе,мяукать,
643,миккищурмал,,жёлуди,
644,мими,,женская грудь,
645,митӏ,,таволга,
646,миха,,тополь,
647,мицӏикӏал,мегӏерччин,насморк,
648,могӏроч,,сопляк,
649,можо,,таблетка,
650,мотӏочӏ,,козырёк фуражки,
651,мугъало,,горб | корзина для носки на спине,
652,мугъбитӏ,,женоподобный мужчина,
653,мугълекӏ,,горбун,
654,мугӏучӏ,бекӏ,альчик,
655,мухъ,,мята,
656,муцакъахьал,,весы,
657,мучаригъаран,мучари,,
658,мучӏи,,женский головной убор,
659,нагӏел,,карбункул,
660,натӏихӏ,баси,нетель | бычок,
661,нахула,,медведка; [насекомое],
662,нахулърахъадал,,блины; в масле обкатанные; [буквально],
663,нахъ,,за,
664,нахъгӏунтӏизе,,"догадываться, догадаться | догонять, догнать кого-либо",
665,нахъ-нахъ,,назад | следом,
666,нахъосалалъ,нахъоса,следующий раз,
667,нахъчӏезаби,,,
668,нахъчӏезабизе,,"заставлять, заставить преследовать; способствовать преследованию",
669,нахъчӏезе,,преследовать кого-что-либо,
670,нахъчӏей,,преследование,
671,нахӏсияй,хъартай,ведьма,
672,нахӏу,,дуб,
673,нахӏукӏла,,шалфей лекарственный,
674,нацӏихер,,цикорий обыкновенный,
675,нащ,гали,шаг,
676,негуш,,избалованный человек,
677,негушлъи,,"избалованность, капризничание",
678,негушлъизе,,"баловаться, капризничать; быть, стать избалованным, капризным",
679,некь,,жало; [пчелы],
680,нихьва,,соломинка | метёлка,
681,нихьу,,веник,
682,нолъкъаси,нолъ,,
683,нуситӏала,,ткацкий станок,
684,нухӏи,рагьимахӏу,порог,
685,онод,гьурал,ревматизм,
686,орозлъи,,озорство,
687,орозлъизе,,"становиться, стать озорным; озорствовать",
688,палтар,партал,,
689,палу,кӏалкӏучӏ,бабочка,
690,пампа,квасквас,хлопок; вата,
691,панкъала,кӏалкӏучӏ,бабочка,
692,панкӏалакӏач,кӏалкӏучӏ,бабочка,
693,пари,,"летание, полёт",
694,паризаби,,,
695,паризабизе,паризе (from),,
696,паризе,,"летать, лететь",
697,парччо,"бакьбучч, бакьуч",барсук,
698,патишагь,падишагь,падишах,
699,патӏих,,дыня,
700,пент,маргъал,пуговица,
701,петена,гужгат,бешмет; [мужская верхняя одежда],
702,писаб,,пакостный,
703,питри,,омела,
704,поркӏо,кӏалкӏучӏ,бабочка,
705,пул,перело,кузнечные мехи,
706,пунцӏила,пунцӏеро,,
707,пурх,тӏокъо,"навес, покрытие",
708,пурщи,гьурщи,растрёпка; [о волосах] | встряхивание | распускание,
709,пурщизаби,гьурщизаби,,
710,пурщизабизе,"пурщизе (from), гьурщизабизе",,
711,пурщизе,гьурщизе,"растрепаться; [о волосах] | встряхивать, встряхнуть что-либо | распускать, распустить; [волосы]",
712,пус,жунжра,клоп,
713,рагъи,багъи,"драка | ругань, брань, поношение, осуждение, порицание",
714,ракъдалаб,,туман,
715,ракьа,,"кость, косточка | косточка; [плода]",
716,ракьула,,медведка,
717,расандухъан,,"танцор, плясун",
718,расандухъанлъи,,"способность танцевать, плясать",
719,рахъал,,"строительные леса, подмостки",
720,раци,тӏикъва,подошва,
721,рацӏцӏи,,"кусок, кусочек, ломоть, ломтик (хлеба и тому подобное)",
722,регь,буххунах,жир; [образуемый при варке мяса],
723,регӏизе,,"провожать, проводить",
724,рекъезе,,"приспосабливаться, приспособляться, приспособиться; подходить, подойти кому-чему-либо; подходить, подойти кому-либо; соответствовать чему-либо | (по)мириться с кем-либо; примиряться, примириться с кем-либо; (по)ладить; подружиться | (по)сватать; [девушку]",
725,рецаро,"харицел, чӏиникӏ",коса,
726,реччдаллъи,,обогащение почвы влагой; учащение дождей,
727,реччдаллъизе,,"обгащаться, обогатиться влагой; учащаться, участиться — о дождях",
728,рицӏ,рицӏцӏ,,
729,ричӏадаб,рикӏкӏадаб,"дальний, далёкий",
730,рищтӏи,,"загон, кошара | огород, бахча",
731,рогъо,,"узда, уздечка",
732,росноб,росулъ,"в ауле, в селе, в деревне",
733,рохьдочӏчӏан,,загон для стада,
734,ругъо,"квелъ, чӏолорхъо, чӏолохъжо","вожжи, поводья, узда, уздечка",
735,ругьи,,болезнь от холода,
736,румаб,,коричневый,
737,руру,неца,овод; слепень,
738,ручч,,зелёный лук,
739,рущтӏиб,,загон во дворе,
740,рущтӏун,,загон во дворе,
741,сапалжо,квар,верёвка,
742,сейиса,сезе,,
743,сел,"гӏер, мокъ","длинная деревянная доска; [вдетая в верёвки, подвешанные на крючки с потолка; в основном употребляется для сушки мяса и сыра] | жердь (насест для кур) сучковатые колья; [установленные около жилых помещений во дворе, служащие вешалкой для вывешивания вяленого мяса]",
744,сибил,"хьибил, букӏон",бок; угол,
745,сивхьи,,"звук, образующийся при подметании чего-либо",
746,сигри,,брусника | крупинки масла; [появляющиеся на сбиваемом молоке непосредственно перед его подходом],
747,симис,,бахрома | ресница,
748,синаркӏо,,средний палец,
749,сиргъич,,скворец,
750,солбол,сибил (from),[родительный падеж],
751,сонкъаси,,вчера вечером; вчера ночью,
752,сонрелъеда,,в прошлую ночь,
753,сонсо,жунжра,клоп,
754,субаро,,плуг; [приспособленный для вспашки целины],
755,сугъел,,небольшой сенокосный участок,
756,сукур,раква,турбина,
757,сукурникӏва,,зубчатый волчок,
758,сули,,кастрация,
759,ссуно,цӏо,молозиво,
760,сунтӏур,,"хобот | лицо, морда",
761,сури,,осрамление | ненависть,
762,суризабизе,,"(о)позорить, обесславить кого-что-либо | (с)компрометировать кого-либо | разоблачать, разоблачить кого-либо | заставлять, заставить ненавидеть кого-что-либо",
763,суризе,,"(о)позориться, обесславиться | (с)компрометировать себя; быть, стать скомпрометированным | разаоблачать, разоблачить себя | (воз)ненавидеть кого-что-либо",
764,суркӏа-матахӏ,суркӏа-щурун,столовая посуда,
765,сурхи,тӏуркӏи,вздрагивание,
766,сурхизе,тӏуркӏизе,"вздрагивать, вздрогнуть",
767,сус,,сыпь | корь,
768,сутер,,полено,
769,сутулкъудус,,чертополох,
770,так,туз,туз,
771,ташнакъ,,грязнуля,
772,терезаби,,весы,
773,тобот,,речка,
774,топ,торгӏо,орудийный снаряд | мяч,
775,тули,,земляника,
776,тули,туснахъ,тюрьма,
777,тунсу,руссункӏо,,
778,тусумакъар,,ольха,
779,тут,кари,"тута, тутовник (плод); смоковница",
780,тӏабакӏ,,поднос | низкий стол | тарелка,
781,тӏадежо,дандежо,закуска; [к хлебу],
782,тӏакъна,,"кров, крыша",
783,тӏалакъверкъ,щурункъверкъ,черепаха,
784,тӏамах,,"лист (растения), листок, листик; листва, листья | лист; [бумаги]",
785,тӏасахъа,тӏад,сверху,
786,тӏатӏалакӏучӏ,кӏалкӏучӏ,бабочка,
787,тӏвел,,кусок,
788,тӏекъса,мекъса,,
789,тӏинаб,гьитӏинаб,маленький,
790,тӏину,,деревянное корыто; [для теста],
791,тӏинчӏ,,"детёныш, зверёныш | детва | козлёнок | щенок",
792,тӏихь,бижаражо,"нарыв, фурункул",
793,тӏолгосеб,,"весь, вся, всё",
794,тӏонкоч,"тӏатӏан, тӏенкел",потник,
795,тӏонтӏро,тӏипало,щербина | веснушка,
796,тӏуб,,боярышник,
797,тӏумесгьил,,горох,
798,тӏунтӏараб,,скупой,
799,тӏурекӏ,,тарелка,
800,тӏутӏ,,"муха, мухи | пчела",
801,тӏутӏи,,крыжовник,
802,ула,,квашня; [для теста],
803,улагъин,,,
804,улагъине,,"рассыпаться, рассыпаться",
805,уржуник,,крыжовник,
806,ухъаб,тӏуцаб,низкий,
807,ухълъи,тӏуцлъи,,
808,ухълъизаби,тӏуцлъизаби,,
809,ухълъизабизе,тӏуцлъизабизе,,
810,ухълъизе,тӏуцлъизе,,
811,хали,халича,ковёр,
812,халияб,,"безлюдный, пустой",
813,халкӏу,хъвалхьен,полено,
814,хамир,чӏагӏа,"буза, брага",
815,хандаро,"харанг, хвенех",нёбо,
816,ханутай,,вдова,
817,хануталъи,,вдовство; [женщины],
818,харанг,"хандаро, хвенех",нёбо,
819,хариял,,дикий лук,
820,хасалил,хасел (from),[родительный падеж] | зимний | осенний,
821,хасдал,хасел (from),[родительный падеж],
822,хасел,,зима | осень,
823,хасел,,"хлеб, злаковые, зерновые; урожай злачных",
824,хаси,,"ряд, терраса",
825,хатишди,,,
826,хатишдизе,хӏаракат,стараться,
827,хвалчен,,"сабля, меч, клинок, шашка | чека; [для осей арбы] | птичье перо",
828,хванча,,поднос,
829,хвел,балкан,"смерть, гибель, кончина | падаль, дохлое животное, труп; [животного]",
830,хелет,ахту,"мокрота, плево",
831,хенеро,техтеро,"юла, волчок",
832,хенхур,хомелег,хмель,
833,хир,хӏабатӏ,перхоть,
834,хираб,"хирадаб, хирияб",,
835,хирадаб,хирияб,,
836,хубуч,гьури,"буран, метель",
837,хумех,гозо,клюв; [птиц],
838,хурдан,"кирит, кӏулал",замок,
839,ххараб,ханжу,мука,
840,хъазанхъаг,,"казан, казанок",
841,хъазахъ,хъазахълъи,"пленный раб, человек рабского происхождения; казак, казачок; батрак | казак | казаки, казачество | сорт абрикосов",
842,хъакӏо,,блюдо из яиц,
843,хъарахъзаз,,колючка,
844,хъарщихӏама,,лопатка; [анатомия],
845,хъвавудхин,,спешка,
846,хъвавудхине,,"торопиться, спешить",
847,хъвазе,бецизе,"касаться, коснуться кого-чего-либо; прикасаться, прикоснуться к кому-чему-либо; дотрагиваться, дотронуться до кого-чего-либо; задевать, задеть кого-чего-либо | брать, трогать | сгребать, сгрести что-либо чем-либо; засыпать, засыпать что-либо чем-либо | (на)писать, записывать, записать; выписывать, выписать; переписывать, переписать; списывать, списать; вписывать, вписать что-либо | (на)писать, сочинять, сочинить что-либо | (на)писать, сообщать, сообщить письменно | играть на чём-либо | кружиться, вертеться вокруг с намерением съесть; [в сочетании с дательным падежом; чего-либо] | (с)косить что-либо | предопределять; [судьбу, долю] | (на)рисовать | пробовать на вкус, отведывать | зажечь спичку | трогать, вступать в половой акт",
848,хъвай,хатӏ,"касание | сгребание чего-либо; засыпание (землёй); засыпка; [земли] | писание; письмо; [процесс] | сочинение чего-либо | игра на чём-либо | косьба | предопределение, судьба | почерк",
849,хъвекцӏум,,беркут,
850,хъепуч,"месед, сус",корь,
851,хъерет,,пенка,
852,хъесеро,"газа, хъинцӏи","тяпка, цапка",
853,хъизан,"хъизан-кулпат, лъади, чӏужу, лъимер","семья, семейство; жена, супруга; дитя, ребёнок",
854,хъинтӏилагӏучӏ,,спичка,
855,хъинцӏ,,кусочек,
856,хъир,,струп,
857,хъичӏ,малъ,коготь,
858,хъияхъ,хӏет,полынь,
859,хъуки,"хъукизе, тунки",от,
860,хъукизе,тункизе,колоть чем-либо острым,
861,хъумур,бацӏ,волк; молодец,
862,хъуру,турут,"палас, дорожка",
863,хъурунжо,,кукурузное зерно крупного помола; [употребляется в качестве крупы для супа и каши],
864,хъусаро,,цапка,
865,хъухъи,сами,"чесание, трепание",
866,хъухъизаби,самизаби,,
867,хъухъизабизе,"хъухъизе (from), самизабизе",,
868,хъухъизе,самизе,"чесать, трепасть",
869,хъухъу,,маленький кувшин,
870,хьамахь,,"налет на стволах | тина, водоросль",
871,хьачӏун,,медленно,
872,хьачӏунлъи,,замедление; медлительность,
873,хьачӏунлъизе,,(за)медлиться,
874,хьачӏураб,,"медленный, медлительный",
875,хьвагӏеро,гьулак,качели,
876,хьвадизе,,"ходить; идти, двигаться; функционировать, (с)делать рейсы, ездить; посещать, посетить; [например о транспорте] | (по)гулять | (по)искать что-либо",
877,хьвадучал,,ходули,
878,хьвача,,"веточка, лапа",
879,хьи,"хӏалхьи, хӏухьбахъи","отдых, передышка",
880,хьилихь,хӏацӏу,слюна,
881,хьирис,"жул, цӏилицӏ",метла,
882,хьирцӏи,,,
883,хьирцӏизе,,защелкать,
884,хьоборчу,чӏеп,"корзина, лукошко",
885,хьолбогӏучӏ,хьабалухъагӏучӏ,ребро,
886,хьур,,деревянное корыто; [в котором выжимают виноград на сок],
887,хьури,"раци, гъари, гьин","плетень решётка | плетёная из прутьев широкая доска; [употребляется для сушки абрикос, слив и других фруктов] | борона тюль",
888,хӏада,,дедушка | Хада; [имя собственное мужское],
889,хӏажа,"алат, тӏагӏел","орудие, инструмент",
890,хӏажибаба,хӏажилакълакъ,аист,
891,хӏажибудай,"хӏажинкӏа, хӏажиролъ, цӏоросаролъ",кукуруза,
892,хӏажинкӏа,"хӏажибудай, хӏажиролъ, цӏоросаролъ",кукуруза,
893,хӏажиролъ,"хӏажибудай, хӏажинкӏа, цӏоросаролъ",кукуруза,
894,хӏалихьалъизе,,"быть, стать подлым, подлецом, негодяем | становиться, стать ленивым; позволять себе лениться; (по)лениться | становиться, стать хулиганистым; хулиганить",
895,хӏалихьат,,"подлый человек, подлец, негодяй; каналья | хулиган, балагур",
896,хӏамагъанкъ,,улитка,
897,хӏамисур,"хӏамимусур, ташкӏо",чабрец | Хамисур; [имя собственное мужское],
898,хӏамицӏам,,тмин; богородская трава,
899,хӏанкӏач,мачу,чувяк,
900,хӏанхӏич,хунчӏрук,сопляк,
901,хӏанц,,мушмула | шишки,
902,хӏанчӏалтӏур,,чучело,
903,хӏанчӏигени,,птичья груша; [сорт диких груш; букв.],
904,хӏара,,"ствол, дуло; [огнестрельных оружий] | клинок | вертел, шомпол, шампур | кочерга | лом, кол | стан, телосложение | сильные боли; приступ боли; схватки, потуги | ёлка; [на свадьбе]",
905,хӏегьоло,хилъало,горох посевной,
906,хӏерав,,дедушка,
907,хӏерай,,бабушка,
908,хӏинтӏ,хӏетӏе,нога,
909,хӏичи,карщ,"густая каша из пшениной муки, болтушка",
910,хӏунщли,сум,соломинка; солома,
911,цахма,"киса, чванта","карман, кисет",
912,циналъго,цинтӏаго,,
913,цӏализе,гьаризе,"(про)читать | учиться | называть, назвать; упоминать, упомянуть кого-что-либо | просить, умолять",
914,цӏанбачӏ,,"резина, резинка",
915,цӏаргьан,цӏаргӏахьал,тёзка,
916,цӏер,,"стекло, стёклышко | глазурь, эмаль | зеркало",
917,цӏертӏабач,,"волчок, кубарь",
918,цӏехезе,,"спрашивать, спросить; распрашивать, распросить; опрашивать, опросить; выспрашивать, выспросить; выведывать, выведать что-либо у кого-либо | (по)искать кого-что-либо",
919,цӏехӏма,,лодырь,
920,цӏику,,коптилка,
921,цӏиликъверкъ,щурункъверкъ,древесная лягушка | черепаха,
922,цӏиндиял,,носки,
923,цӏуяй,,женщина,
924,чавка,,галка,
925,чайхьаг,чайдан,чайник,
926,чамбара,нур,радуга,
927,чаргьоло,багӏаргьоло,фасоль,
928,ченкь,,спица колоса,
929,черх,,"тело, организм | плоть | туша; [животного]",
930,чехь-бакь,"бакӏвали-кӏач, ургьимес",внутренности,
931,чидал,чияр,,
932,чинкир,чинква,,
933,чогьен,,"котёл, казан",
934,чухьи,,,
935,чухьизе,,"(по)бояться, (ис)пугаться; проявить слабость",
936,чӏана,"чӏана-сана, чӏанда, чӏанда-хабар",,
937,чӏандерокӏал,чӏандеро,челюсть,
938,чӏанкьаб,,"горький, горько-солёный, горьковатый | низкий, звучный; [о голосе] | жёсткий; [о волосах]",
939,чӏанкӏалакӏго,гӏицӏго,"голо (без одежды), в чём мать родила",
940,чӏанкӏараб,"чӏанкӏизе (from), гӏицӏаб",голый (без одежды); приторный,
941,чӏатӏан,лол,,
942,чӏвазе,чӏвагӏазе,"убивать, убить | (по)бить, (по)шлёпать, (по)шлепнуть; ударять, ударить по чему-либо; задевать, задеть | вбивать, вбить, забивать, забить что-либо | бить во что-либо | надевать, надеть на голову; [о женском головном уборе] | (у)слышать; послышаться; [о всяком голосе] | (по)ставить, устанавливать, установить | ударить чем-либо острым; вонзать, вонзить; пырнуть | покрываться, покрыться чем-либо | (по)ложить, вложить, переложить что-либо во что-либо | стряхивать, стряхнуть, сбивать, сбить; разбивать, разбить; устанавливать, установить; [например плоды с дерева] | приложить, поставить | играть во что-либо | набивать, набить; насаждать, насадить | взять, поддеть; [например вилкой] | (из)мерить; [единицами измерения длины] | повесить что-либо куда-либо | (по)чувствовать | приклеить | выиграть фигуру (при игре в шашки, шахматы); накрыть; [при игре в карты] | изрубить (на мелкие куски), измельчать (шинкованием)",
943,чӏезе,"гъезе, чӏвазе","сажать, посадить; . (по)ставить, устанавливать, установить; [в землю]",
944,чӏеп,,"корзина, сапетка; лукошко | люлька для ребёнка",
945,чӏикӏаро,"гъуд, чӏикӏва",маленькая деревянная ложечка; чайная ложечка,
946,чӏикӏва,"чӏикӏаро, гъуд",,
947,чӏикӏу,хьон,молотое льняное семя,
948,чӏиникӏ,,"коса (инструмент), серп",
949,чӏинкъизе,,"отламываться, отломаться; отбиваться, отбиться; [о крае предмета] | отламывать, отломать; отбивать, отбить; [край предмета] | (с)ломать",
950,чӏинхъизе,,"раздаваться — о шорохе, шуршании | (по)искать чего-либо",
951,чӏинчӏал,чӏинчӏу (from),,
952,чӏинчӏу,,тонкий платок; [головный убор горянки],
953,чӏобозаби,чӏехьезаби,,
954,чӏобозабизе,чӏехьезабизе,,
955,чӏобозе,чӏехьезе,,
956,чӏобой,"чӏобозе (from), чӏехьей",,
957,чӏолгӏо,"топ, торгӏо",мяч,
958,чӏолорхъо,чӏолохъжо,,
959,чӏонокъ,,кадык,
960,чӏукъун,,зоб,
961,чӏукь,кьучӏ,"основа, фундамент",
962,чӏулгӏи,,фарфор | фарфоровая тарелка,
963,чӏуни,чӏучӏин,,
964,чӏунизе,чӏучӏине,,
965,чӏунчӏудук,,ворон,
966,чӏутӏугӏ,,червь; [заводится в недоброкачественных молочных продуктах],
967,чӏухӏаб,чӏухӏараб,Чухай; [имя собственное женское],
968,чӏучӏну,чӏалу,бревно; потолочная балка,
969,шори,,"папоротник, щитовник мужской",
970,щарчӏвад,дад,глиняный сосуд; [для сбивания масла],
971,ще,читӏир,,
972,щинаб,"щибаб, щивав, щияй",,
973,щулалъизе,,"быть, стать прочным, упрочиться; быть, стать крепким, укрепляться, укрепиться | выздороветь",
974,щуцӏали,,пятьдесят,
975,щуцӏалиялда,,пятьдесят; [служит для образования составных числительных от 50 до 59],
976,эмехаца,,тогда,
977,эпэп,,удод,
978,юкка,гурде,платье,
979,яда,,или же,
980,ячарай,,"жена, супруга",
